"","Name","description","timestamp","begin","end","altitudeMode","tessellate","extrude","visibility","drawOrder","icon","ADDRESSBLOCKHOUSENUMBER","LATITUDE","EST_ORIGINAL_COMPLETION_DATE","STATUS","CLEANINGSTARTDATE","ADDRESSUNITNUMBER","ADDRESSFLOORNUMBER","NO_OF_FOOD_STALLS","HYPERLINK","REGION","APPROXIMATE_GFA","LONGITUDE","INFO_ON_CO_LOCATORS","NO_OF_MARKET_STALLS","AWARDED_DATE","LANDYADDRESSPOINT","CLEANINGENDDATE","PHOTOURL","ADDRESSTYPE","RNR_STATUS","ADDRESSBUILDINGNAME","HUP_COMPLETION_DATE","LANDXADDRESSPOINT","ADDRESSSTREETNAME","ADDRESSPOSTALCODE","DESCRIPTION_MYENV","IMPLEMENTATION_DATE","ADDRESS_MYENV","INC_CRC","FMEL_UPD_D","snippet","X","index","lon","lat","popular_times","time_spent","current_popularity","filled","peak","sun0","sun1","sun2","sun3","sun4","sun5","sun6","sun7","sun8","sun9","sun10","sun11","sun12","sun13","sun14","sun15","sun16","sun17","sun18","sun19","sun20","sun21","sun22","sun23","mon0","mon1","mon2","mon3","mon4","mon5","mon6","mon7","mon8","mon9","mon10","mon11","mon12","mon13","mon14","mon15","mon16","mon17","mon18","mon19","mon20","mon21","mon22","mon23","tue0","tue1","tue2","tue3","tue4","tue5","tue6","tue7","tue8","tue9","tue10","tue11","tue12","tue13","tue14","tue15","tue16","tue17","tue18","tue19","tue20","tue21","tue22","tue23","wed0","wed1","wed2","wed3","wed4","wed5","wed6","wed7","wed8","wed9","wed10","wed11","wed12","wed13","wed14","wed15","wed16","wed17","wed18","wed19","wed20","wed21","wed22","wed23","thu0","thu1","thu2","thu3","thu4","thu5","thu6","thu7","thu8","thu9","thu10","thu11","thu12","thu13","thu14","thu15","thu16","thu17","thu18","thu19","thu20","thu21","thu22","thu23","fri0","fri1","fri2","fri3","fri4","fri5","fri6","fri7","fri8","fri9","fri10","fri11","fri12","fri13","fri14","fri15","fri16","fri17","fri18","fri19","fri20","fri21","fri22","fri23","sat0","sat1","sat2","sat3","sat4","sat5","sat6","sat7","sat8","sat9","sat10","sat11","sat12","sat13","sat14","sat15","sat16","sat17","sat18","sat19","sat20","sat21","sat22","sat23"
"27","Bukit Merah View Blk 115 (Blk 115 Bukit Merah View Market and Food Centre)","HUP Standard Upgrading","","","","",-1,0,-1,0,"","115","","29/3/1973","Existing","","","","","","","","","","","","29770.11","","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267851251303.jpg","I","","","28/2/2012","26745.83","Bukit Merah View","151115","","","Blk 115, Bukit Merah View, Singapore 151115","7A2BDBF505C0CC30","20210330151704","",42,42,1.28547259905782,103.820074950918,0,"People typically spend 20 min to 1 hr here",74,0,12,0,0,0,0,0,0,0,49,79,96,96,90,84,72,54,43,43,50,52,47,35,0,0,0,0,0,0,0,0,0,0,38,49,52,49,60,82,72,39,26,34,45,49,45,34,0,0,0,0,0,0,0,0,0,0,45,58,59,59,72,84,71,43,29,32,41,46,43,34,0,0,0,0,0,0,0,0,0,0,46,59,61,60,77,96,80,45,32,39,50,55,51,39,0,0,0,0,0,0,0,0,0,0,46,62,65,64,80,100,83,47,32,40,52,58,54,43,0,0,0,0,0,0,0,0,0,0,48,65,64,60,77,95,78,44,29,36,49,56,55,44,0,0,0,0,0,0,0,0,0,0,49,76,89,89,88,86,72,52,40,43,53,59,57,46,0,0,0
"25","Bukit Merah Central Blk 163 (Bukit Merah Central Food Centre)","Opted out of HUP","","","","",-1,0,-1,0,"","163","","5/5/1980","Existing","","","","","","","","","","","","29569.73","","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267851995788.jpg","I","","","","26183.03","Bukit Merah Central","150163","","","Blk 163, Bukit Merah Central, Singapore 150163","16F0047A45BF34F9","20210330151704","",40,40,1.2834535990593,103.815211650918,0,"People typically spend 30 min here",24,0,12,0,0,0,0,0,0,0,4,14,30,40,45,55,49,26,13,9,6,4,0,0,0,0,0,0,0,0,0,0,0,9,23,32,27,25,58,100,80,36,19,18,18,13,8,0,0,0,0,0,0,0,0,0,0,8,23,33,24,23,57,93,76,37,21,20,17,12,6,0,0,0,0,0,0,0,0,0,0,7,21,32,28,21,48,93,75,32,19,19,18,13,8,0,0,0,0,0,0,0,0,0,0,8,20,27,23,26,61,98,83,41,21,18,16,13,8,0,0,0,0,0,0,0,0,0,0,7,25,35,21,21,55,88,70,35,21,17,14,11,7,0,0,0,0,0,0,0,0,0,0,0,8,20,26,30,43,52,41,25,17,13,10,7,0,0,0,0,0
"98","Tiong Bahru Market","HUP Rebuilding","","","","",-1,0,-1,0,"","30","","","Existing","","","","","","","10630.72","","","","","29724.05","","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262156378375.jpg","I","","","10/2/2006","27892.07","Seng Poh Road","168898","","","30, Seng Poh Road, Singapore 168898","0FAB58D04F39DCE2","20210330151704","",17,17,1.2848219,103.83251715,0,"0",0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"95","Telok Blangah Drive Blk 79 (Telok Blangah Food Centre)","HUP Standard Upgrading","","","","",-1,0,-1,0,"","79","","30/5/1977","Existing","","","","","","","","","","","","28428.13","","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262153497855.jpg","I","","","20/8/2005","25140.71","Telok Blangah Drive","100079","","","Blk 79, Telok Blangah Drive, Singapore 100079","47E27FD755A278B1","20210330151704","",14,14,1.27342419906665,103.805444550918,0,"People typically spend 30 min here",70,0,8,0,0,0,0,0,0,28,58,86,100,99,90,75,54,32,17,9,5,4,0,0,0,0,0,0,0,0,0,0,0,22,43,56,52,44,52,62,44,20,10,8,6,4,0,0,0,0,0,0,0,0,0,0,0,28,64,88,75,57,73,90,64,29,16,12,9,7,0,0,0,0,0,0,0,0,0,0,0,23,58,86,80,63,74,88,64,30,15,10,8,5,0,0,0,0,0,0,0,0,0,0,0,28,59,82,80,67,76,86,57,25,14,11,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,58,87,94,87,81,72,54,34,20,13,10,7,0,0,0,0,0
"79","Pasir Panjang Food Centre","HUP Standard Upgrading","","","","",-1,0,-1,0,"","121","","1978","Existing","","","","","","","1115.71","","","","","28708.93","","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262155813373.jpg","I","","","20/5/2002","23335.09","Pasir Panjang Road","118543","","","121, Pasir Panjang Road, Singapore 118543","311FCFFE66B6917D","20210330151704","",56,56,1.27596899906479,103.789058050918,0,"People typically spend 20 min to 1 hr here",24,0,19,0,0,0,0,0,0,0,0,29,28,25,28,35,34,22,14,24,51,80,88,67,35,12,0,0,0,0,0,0,0,0,0,49,41,35,55,83,72,35,20,33,54,70,69,53,30,12,0,0,0,0,0,0,0,0,0,53,44,43,64,87,76,43,29,41,65,83,82,63,37,16,0,0,0,0,0,0,0,0,0,52,45,44,68,93,79,41,21,32,60,86,91,72,41,17,0,0,0,0,0,0,0,0,0,57,45,44,71,98,82,42,23,35,65,92,95,72,40,15,0,0,0,0,0,0,0,0,0,53,44,41,64,89,77,42,26,40,68,93,100,83,53,26,0,0,0,0,0,0,0,0,0,37,30,32,45,54,50,36,29,39,66,91,98,80,49,22,0
"26","Bukit Merah Lane 1 Blk 120 (Alexandra Village Food Centre)","HUP Standard Upgrading","","","","",-1,0,-1,0,"","120","","14/9/1978","Existing","","","","","","","","","","","","29857.81","","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267852344747.jpg","I","","","15/11/2010","24791.54","Bukit Merah Lane 1","150120","","","Blk 120, Bukit Merah Lane, Singapore 150120","98A3C26D48032FF5","20210330151704","",41,41,1.28633969905719,103.802324350918,0,"People typically spend 25 min to 1 hr here",0,0,12,0,0,0,0,0,0,0,0,0,0,0,67,78,74,58,39,32,47,70,67,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,82,71,34,22,28,36,40,35,25,0,0,0,0,0,0,0,0,0,0,14,21,28,38,66,95,80,41,27,37,51,57,50,34,0,0,0,0,0,0,0,0,0,0,14,21,27,35,63,100,84,39,25,34,46,51,45,32,0,0,0,0,0,0,0,0,0,0,14,20,26,36,63,96,87,45,24,30,46,56,53,38,0,0,0,0,0,0,0,0,0,0,13,21,29,39,62,89,82,46,25,31,49,63,62,46,0,0,0,0,0,0,0,0,0,0,10,22,40,62,80,89,83,67,51,46,59,76,74,50,0,0,0
"58","Jalan Bukit Merah Blk 6 (ABC Brickworks Market/Food Centre)","HUP Reconfiguration","","","","",-1,0,-1,0,"","6","","11/10/1974","Existing","","","","","","","","","","","","29930.23","","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267760203.jpg","I","","","11/8/2006","25196.5","Jalan Bukit Merah","150006","","","Blk 6, Jalan Bukit Merah, Singapore 150006","D9BD256FB27FC06C","20210330151704","",105,105,1.28690469905677,103.805961050918,0,"People typically spend 25 min to 1 hr here",36,0,12,0,0,0,0,0,0,0,0,30,45,58,65,63,53,41,34,38,50,57,51,34,16,4,1,0,0,0,0,0,0,0,0,35,38,38,56,89,70,32,26,33,39,40,36,27,17,8,0,0,0,0,0,0,0,0,0,37,41,43,59,88,73,37,29,36,43,45,40,30,18,8,0,0,0,0,0,0,0,0,0,38,42,45,67,100,80,39,30,38,46,48,44,33,21,10,0,0,0,0,0,0,0,0,0,42,45,46,65,98,79,38,29,38,46,49,45,35,23,12,0,0,0,0,0,0,0,0,0,41,42,43,62,87,73,39,29,37,47,52,49,40,27,15,0,0,0,0,0,0,0,0,0,35,48,61,69,68,58,47,41,44,54,61,59,45,26,10,0
"72","New Market Road Blk 32 (People's Park Food Centre)","HUP Standard Upgrading","","","","",-1,0,-1,0,"","32","","1965","Existing","","","","","","","","","","","","29713.3","","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265168123284.jpg","I","","","27/12/2005","29030.58","New Market Road","50032","","","Blk 32, New Market Road, Singapore 050032","431889D30CA6E5AD","20210330151704","",49,49,1.28499759905817,103.840361550918,0,"People typically spend 30 min to 1 hr here",20,0,13,0,0,0,0,0,0,0,4,13,30,53,78,96,99,88,75,71,80,90,86,64,36,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,18,39,67,88,90,73,50,42,55,74,76,54,26,9,0,0,0,0,0,0,0,0,2,7,19,40,67,89,95,82,60,48,57,79,84,61,29,9,0,0,0,0,0,0,0,0,2,8,21,45,74,97,99,80,56,47,61,83,87,65,33,12,0,0,0,0,0,0,0,0,2,7,19,40,65,86,92,80,60,49,60,85,96,76,41,15,0,0,0,0,0,0,0,0,4,12,25,45,68,87,96,91,78,68,73,91,100,81,47,19,0
"51","Havelock Road Blk 22A/B (Havelock Road Cooked Food Centre)","HUP Standard Upgrading","","","","",-1,0,-1,0,"","22A/B","","16/11/1969","Existing","","","","","","","","","","","","30043.3","","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262152823428.jpg","I","","","27/4/2007","27589.14","Havelock Road","161022","","","Blk 22A/B, Havelock Road, Singapore 161022/162022","1CFBA3CBF816CC4F","20210330151704","",98,98,1.28776829905614,103.827342750918,0,"People typically spend 30 min here",37,0,11,0,0,0,0,0,0,0,11,23,37,47,46,36,25,18,16,16,17,18,18,16,14,0,0,0,0,0,0,0,0,0,13,27,47,67,79,75,59,40,27,21,19,19,19,17,14,0,0,0,0,0,0,0,0,0,26,45,65,85,97,93,74,48,29,21,20,20,19,18,15,0,0,0,0,0,0,0,0,0,23,40,62,86,98,91,68,43,27,20,20,22,22,21,17,0,0,0,0,0,0,0,0,0,21,38,62,86,100,95,75,51,31,23,24,30,33,29,20,0,0,0,0,0,0,0,0,0,23,41,63,83,94,92,76,53,33,22,20,26,31,31,23,0,0,0,0,0,0,0,0,0,26,49,66,71,74,79,74,54,32,20,19,21,23,22,20,0,0
"21","Beo Crescent Market","HUP Standard Upgrading","","","","",-1,0,-1,0,"","38A","","1965","Existing","","","","","","","1733.074","","","","","30136.920000000002","","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267807628554.jpg","I","","","18/1/2010","27336.64","Beo Crescent","169982","","","38A, Beo Crescent, Singapore 169982","D232402B6D84FBBE","20210330151704","",36,36,1.28872069905544,103.825324750918,0,"People typically spend 20 min to 1 hr here",88,0,12,0,0,0,0,0,0,26,49,76,95,100,91,76,62,50,40,32,25,19,14,0,0,0,0,0,0,0,0,0,0,16,28,37,42,48,58,62,52,35,24,21,22,22,19,0,0,0,0,0,0,0,0,0,0,24,43,57,61,63,73,77,62,40,28,25,23,21,17,0,0,0,0,0,0,0,0,0,0,24,43,56,60,63,75,79,60,38,28,26,25,23,20,0,0,0,0,0,0,0,0,0,0,24,45,58,60,61,72,79,66,43,28,24,22,20,17,0,0,0,0,0,0,0,0,0,0,22,45,61,63,60,67,74,59,37,26,24,23,21,18,0,0,0,0,0,0,0,0,0,0,25,46,67,83,88,85,76,65,54,45,38,33,27,22,0,0,0,0
"83","Redhill Lane Blk 85 (Redhill Food Centre)","HUP Reconfiguration","","","","",-1,0,-1,0,"","85","","4/4/1972","Existing","","","","","","","","","","","","29972.02","","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262153717849.jpg","I","","","17/6/2005","26332.89","Redhill Lane","150085","","","Blk 85, Redhill Lane, Singapore 150085","1D515CA502CE0A60","20210330151704","",2,2,1.28729399905648,103.815988850918,0,"People typically spend 30 min to 1 hr here",75,0,12,0,0,0,0,0,0,0,0,56,94,100,93,94,71,36,20,20,24,27,26,22,0,0,0,0,0,0,0,0,0,0,0,31,46,45,48,77,61,20,10,15,22,26,26,22,0,0,0,0,0,0,0,0,0,0,27,52,57,50,67,85,62,25,10,13,20,26,28,25,0,0,0,0,0,0,0,0,0,0,0,32,53,51,62,93,71,26,14,20,28,33,33,27,0,0,0,0,0,0,0,0,0,0,0,40,58,56,62,90,71,26,13,19,28,33,32,24,0,0,0,0,0,0,0,0,0,0,0,34,51,48,61,81,62,25,10,14,23,32,35,30,0,0,0,0,0,0,0,0,0,0,0,45,74,80,75,74,60,33,18,20,26,31,32,28,0,0,0
"59","Jalan Kukoh Blk 1 (Kukoh 21 Food Centre)","HUP Standard Upgrading","","","","",-1,0,-1,0,"","1","","21/1/1969","Existing","","","","","","","","","","","","30071.510000000002","","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267874440744.jpg","I","","","4/10/2010","28737.57","Jalan Kukoh","161001","","","Blk 1, Jalan Kukoh, Singapore 161001","8943084A1D332148","20210330151704","",106,106,1.28825379905578,103.837691350918,0,"People typically spend 15-45 min here",0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"113","Zion Riverside Food Centre","HUP Standard Upgrading","","","","",-1,0,-1,0,"","70","","1976","Existing","","","","","","","1421.31","","","","","30526.15","","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267879560483.jpg","I","","","5/3/2003","27763.03","Zion Road","247792","","","70, Zion Road, Singapore 247792","41709ABECAA2B3FE","20210330151704","",32,32,1.2924674990527,103.829136150918,0,"People typically spend 25 min to 1 hr here",21,0,12,0,0,0,0,0,0,0,0,25,41,59,76,84,80,65,52,53,70,88,86,62,32,0,0,0,0,0,0,0,0,0,0,15,20,27,51,89,87,44,21,26,43,59,62,48,27,0,0,0,0,0,0,0,0,0,0,18,25,39,63,85,82,55,30,27,42,60,66,55,34,0,0,0,0,0,0,0,0,0,0,19,29,49,76,95,87,58,31,23,36,59,73,66,42,0,0,0,0,0,0,0,0,0,0,20,31,48,70,88,88,67,41,30,42,67,82,72,43,0,0,0,0,0,0,0,0,0,0,18,29,48,73,92,90,67,41,31,43,68,85,79,53,0,0,0,0,0,0,0,0,0,0,20,34,53,73,86,84,70,56,55,71,92,100,84,54,0,0
"82","Redhill Lane Blk 79 (Redhill Market)","HUP Reconfiguration","","","","",-1,0,-1,0,"","79","","1/1/1969","Existing","","","","","","","","","","","","30030.33","","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262153664347.jpg","I","","","28/6/2005","26339.98","Redhill Lane","150079","","","Blk 79, Redhill Lane, Singapore 150079","ECAC58C7830DA23E","20210330151704","",75,75,1.28784149905608,103.816081050918,0,"People typically spend 20 min to 1 hr here",0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,88,86,86,82,71,55,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,46,51,62,67,62,49,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,53,59,71,76,70,55,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,67,69,77,80,74,59,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,57,65,79,87,82,66,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,58,61,72,80,78,66,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,88,87,87,84,76,62,45,0,0
"71","Mei Chin Road Blk 159 (Mei Chin Road Market)","HUP Reconfiguration","","","","",-1,0,-1,0,"","159","","12/10/1970","Existing","","","","","","","","","","","","30625.03","","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262154581891.jpg","I","","","8/5/2009","24615.11","Mei Chin Road","140159","","","Blk 159, Mei Chin Road, Singapore 140159","58C10BCC7F14A9E6","20210330151704","",48,48,1.29326719905211,103.800688650918,0,"People typically spend 25 min to 1 hr here",86,0,12,0,0,0,0,0,0,14,41,75,97,100,94,84,60,33,19,17,19,20,19,16,0,0,0,0,0,0,0,0,0,9,21,31,31,30,41,51,35,15,8,7,7,7,7,6,0,0,0,0,0,0,0,0,0,14,31,46,50,47,60,68,41,15,9,9,9,9,8,7,0,0,0,0,0,0,0,0,0,15,34,50,52,49,65,80,55,23,12,11,11,11,10,8,0,0,0,0,0,0,0,0,0,19,36,51,54,50,64,81,54,19,11,12,13,13,12,11,0,0,0,0,0,0,0,0,0,18,38,54,55,53,67,76,50,20,11,12,13,13,12,11,0,0,0,0,0,0,0,0,0,17,45,77,93,90,85,76,54,30,19,20,22,24,23,20,0,0,0
"65","Marine Parade Central Blk 84 (84 Marine Parade Central Market and Food Centre)","Opted out of HUP","","","","",-1,0,-1,0,"","84","","23/8/1976","Existing","","","","","","","","","","","","31625.71","","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267875360164.jpg","I","","","","36126.46","Marine Parade Central","440084","","","Blk 84, Marine Parade Central, Singapore 440084","069C7A0A2A7BDE00","20210330151704","",112,112,1.30237919904543,103.904116950918,0,"People typically spend 45 min here",56,0,12,0,0,0,0,0,0,0,31,63,87,93,94,100,96,76,57,52,56,57,48,32,17,0,0,0,0,0,0,0,0,0,24,38,43,43,52,66,62,40,25,26,33,36,31,21,11,0,0,0,0,0,0,0,0,0,24,40,49,51,56,64,61,44,28,26,32,36,33,24,13,0,0,0,0,0,0,0,0,0,27,42,50,54,61,68,65,50,37,35,41,43,35,22,10,0,0,0,0,0,0,0,0,0,28,41,48,51,59,69,66,48,32,33,43,50,46,32,17,0,0,0,0,0,0,0,0,0,33,46,50,51,59,69,66,47,32,30,38,45,43,32,19,0,0,0,0,0,0,0,0,0,32,60,78,79,78,85,84,67,47,44,55,66,61,43,22,0,0
"81","Queen Street Blk 270 (Albert Centre)","HUP Standard Upgrading","","","","",-1,0,-1,0,"","270","","7/8/1978","Existing","","","","","","","","","","","","31483.66","","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267850253199.jpg","I","","","26/11/2009","30325.21","Queen Street","180270","","","Blk 270, Queen Street, Singapore 180270","0906CEDC0663C53A","20210330151704","",58,58,1.30090269904652,103.852244450918,0,"0",0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"49","Golden Mile Food Centre","HUP Standard Upgrading","","","","",-1,0,-1,0,"","505","","1975","Existing","","","","","","","6249.229","","","","","31690.89","","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262155571228.jpg","I","","","4/7/2002","31401.57","Beach Road","199583","","","505, Beach Road, Singapore 199583","68D2109268BB12D3","20210330151704","",96,96,1.30309079904492,103.861735850918,0,"People typically spend 30 min to 1 hr here",0,0,13,0,0,0,0,0,0,0,0,0,0,0,70,88,89,79,68,64,66,65,56,41,24,0,0,0,0,0,0,0,0,0,0,0,0,0,53,66,66,54,40,35,37,41,39,29,17,0,0,0,0,0,0,0,0,0,0,0,0,0,61,79,77,60,43,37,42,47,43,32,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,83,64,46,40,44,48,44,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,84,84,69,52,46,49,53,49,37,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,97,100,89,78,74,77,79,73,58,0,0,0
"56","Jalan Batu Blk 4A (Blk 4A Jalan Batu Hawker Centre/Market)","HUP Standard Upgrading","","","","",-1,0,-1,0,"","4A","","3/1/1969","Existing","","","","","","","","","","","","31640.43","","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267874223880.jpg","I","","","16/2/2012","33633.770000000004","Jalan Batu","432004","","","Blk 4A, Jalan Batu, Singapore 432004","551478E060A1C8F0","20210330151704","",103,103,1.30217059904559,103.881689350918,0,"People typically spend 25 min to 1 hr here",53,0,12,0,0,0,0,0,0,0,39,67,79,77,74,70,60,46,37,32,29,25,21,16,11,0,0,0,0,0,0,0,0,0,36,51,51,50,72,86,59,32,23,20,18,15,11,8,5,0,0,0,0,0,0,0,0,0,34,58,62,57,73,83,60,34,24,22,19,17,14,10,7,0,0,0,0,0,0,0,0,0,34,60,64,63,87,99,72,42,31,28,25,22,18,14,10,0,0,0,0,0,0,0,0,0,42,68,70,65,85,100,75,43,31,28,26,23,19,15,11,0,0,0,0,0,0,0,0,0,47,69,63,55,76,89,64,37,28,26,24,20,17,13,9,0,0,0,0,0,0,0,0,0,42,80,93,80,79,84,66,44,34,31,28,25,21,17,12,0,0
"43","East Coast Lagoon Food Village","HUP Rebuilding","","","","",-1,0,-1,0,"","1220","","1978","Existing","","","","","","","3600.16","","","","","32112.260000000002","","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262155504536.jpg","I","","","10/12/2003","39318.07","East Coast Parkway","468960","","","1220, East Coast Parkway, Singapore 468960","1D6E51B459D243DC","20210330151704","",90,90,1.30692989904211,103.932765350918,0,"0",0,0,20,0,0,0,0,0,0,0,0,0,0,22,32,38,41,41,44,54,69,81,82,72,52,32,0,5,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,12,20,32,41,42,34,22,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,26,38,49,50,40,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,27,42,54,56,44,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,28,44,59,62,50,30,0,0,0,0,0,0,0,0,0,0,0,0,9,12,14,14,15,21,34,52,69,76,70,53,0,0,0,0,0,0,0,0,0,0,0,19,25,29,30,32,38,51,70,88,99,100,89,69,0
"24","Buffalo Road Blk 665 (Tekka Centre/Zhu Jiao Market)","HUP Standard Upgrading","","","","",-1,0,-1,0,"","665","","31/10/1980","Existing","","","","","","","","","","","","32059.13","","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262156313186.jpg","I","","","30/6/2009","29915.58","Buffalo Road","210665","","","Blk 665, Buffalo Road, Singapore 210665","D09ADF3409AC0894","20210330151704","",39,39,1.30646089904245,103.848558250918,0,"People typically spend 20 min to 1 hr here",100,0,12,0,0,0,0,0,0,10,24,42,61,80,95,100,95,87,83,83,83,76,62,43,25,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,20,29,34,38,45,49,46,37,31,32,37,40,37,29,19,10,4,0,0,0,0,0,0,13,24,32,35,39,48,55,50,37,30,32,39,43,40,32,20,11,4,0,0,0,0,0,0,12,23,32,36,40,48,53,48,37,31,34,41,46,43,34,22,11,4,0,0,0,0,0,0,11,23,34,37,39,44,49,47,39,32,32,38,43,42,34,22,12,4,0,0,0,0,0,0,12,25,38,48,55,60,64,64,59,53,52,56,59,56,44,29,15,6
