"","index","name","lon","lat","popular_times","time_spent","current_popularity","filled","peak","sun0","sun1","sun2","sun3","sun4","sun5","sun6","sun7","sun8","sun9","sun10","sun11","sun12","sun13","sun14","sun15","sun16","sun17","sun18","sun19","sun20","sun21","sun22","sun23","mon0","mon1","mon2","mon3","mon4","mon5","mon6","mon7","mon8","mon9","mon10","mon11","mon12","mon13","mon14","mon15","mon16","mon17","mon18","mon19","mon20","mon21","mon22","mon23","tue0","tue1","tue2","tue3","tue4","tue5","tue6","tue7","tue8","tue9","tue10","tue11","tue12","tue13","tue14","tue15","tue16","tue17","tue18","tue19","tue20","tue21","tue22","tue23","wed0","wed1","wed2","wed3","wed4","wed5","wed6","wed7","wed8","wed9","wed10","wed11","wed12","wed13","wed14","wed15","wed16","wed17","wed18","wed19","wed20","wed21","wed22","wed23","thu0","thu1","thu2","thu3","thu4","thu5","thu6","thu7","thu8","thu9","thu10","thu11","thu12","thu13","thu14","thu15","thu16","thu17","thu18","thu19","thu20","thu21","thu22","thu23","fri0","fri1","fri2","fri3","fri4","fri5","fri6","fri7","fri8","fri9","fri10","fri11","fri12","fri13","fri14","fri15","fri16","fri17","fri18","fri19","fri20","fri21","fri22","fri23","sat0","sat1","sat2","sat3","sat4","sat5","sat6","sat7","sat8","sat9","sat10","sat11","sat12","sat13","sat14","sat15","sat16","sat17","sat18","sat19","sat20","sat21","sat22","sat23"
"43",43,"Bukit Panjang Hawker Centre",1.37745739899045,103.770300650918,0,"People typically spend 20 min to 1 hr here",100,0,9,0,0,0,0,0,0,27,58,88,100,97,95,90,70,45,31,34,43,49,44,31,17,0,0,0,0,0,0,0,0,16,32,42,41,41,52,57,44,27,21,24,28,29,27,21,14,0,0,0,0,0,0,0,0,20,44,59,56,51,58,61,48,30,23,26,32,36,34,27,18,0,0,0,0,0,0,0,0,23,49,64,60,57,66,70,56,34,22,25,36,42,40,29,16,0,0,0,0,0,0,0,0,20,53,72,61,52,63,69,55,33,21,25,38,47,46,34,19,0,0,0,0,0,0,0,0,25,56,75,67,56,61,68,57,36,23,24,34,42,43,34,22,0,0,0,0,0,0,0,0,31,66,93,95,88,86,80,62,41,32,36,45,50,46,35,21,0,0
"44",44,"Market Street Interim Hawker Centre",1.28241109906006,103.845411250918,0,"0",0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"45",45,"Marsiling Lane Blk 20/21",1.44346009894212,103.774684250918,0,"People typically spend 20 min to 1 hr here",100,0,10,0,0,0,0,0,15,36,62,84,97,100,88,64,41,28,25,26,25,22,0,0,0,0,0,0,0,0,0,0,10,22,32,36,32,28,29,29,23,15,13,17,22,24,20,14,0,0,0,0,0,0,0,0,13,30,46,52,50,45,41,35,25,16,14,18,24,26,23,16,0,0,0,0,0,0,0,0,15,32,49,56,53,49,46,41,30,21,18,21,24,25,21,14,0,0,0,0,0,0,0,0,14,32,50,57,52,47,47,44,32,20,17,21,26,26,22,15,0,0,0,0,0,0,0,0,16,33,50,57,54,48,44,38,28,19,16,19,23,24,21,14,0,0,0,0,0,0,0,0,16,39,64,79,80,76,69,56,38,26,24,26,27,25,19,13,0,0,0
"46",46,"Marsiling Mall Hawker Centre",1.4335075989494,103.777669850918,0,"People typically spend 5-30 min here",0,0,18,0,0,0,0,0,0,0,0,0,0,82,99,100,82,59,43,48,71,88,78,47,19,0,0,0,0,0,0,0,0,0,0,0,0,35,53,63,54,34,21,24,40,53,48,30,13,0,0,0,0,0,0,0,0,0,0,0,0,39,55,65,58,40,27,29,46,59,56,37,17,0,0,0,0,0,0,0,0,0,0,0,0,45,65,75,63,40,26,30,50,65,61,39,17,0,0,0,0,0,0,0,0,0,0,0,0,46,68,78,65,40,26,35,58,75,68,42,18,0,0,0,0,0,0,0,0,0,0,0,0,46,62,71,64,47,32,34,57,80,78,51,22,0,0,0,0,0,0,0,0,0,0,0,0,65,77,80,70,55,42,44,63,83,79,51,22,0,0
"47",47,"Maxwell Food Centre (Kim Hua Market)",1.28033609906159,103.842572950918,0,"People typically spend 25 min to 1 hr here",91,0,12,1,1,0,0,0,0,0,0,19,30,41,57,71,65,44,33,34,38,37,30,20,11,5,1,1,1,0,0,0,0,0,0,23,24,26,48,76,67,34,19,22,28,32,30,25,18,11,5,1,1,0,0,0,0,0,0,24,28,34,61,92,83,45,25,28,38,44,42,33,22,11,4,1,1,0,0,0,0,0,0,24,29,34,61,100,91,48,29,33,41,43,39,30,19,10,4,2,1,0,0,0,0,0,0,24,28,34,63,96,83,43,24,28,37,43,43,35,24,14,6,4,0,0,0,0,0,0,0,22,26,33,57,87,81,47,27,29,40,49,50,44,32,20,10,3,0,0,0,0,0,0,0,23,32,43,60,79,78,57,39,37,46,52,51,43,30,17,8
"48",48,"Mei Chin Road Blk 159 (Mei Chin Road Market)",1.29326719905211,103.800688650918,0,"People typically spend 25 min to 1 hr here",86,0,12,0,0,0,0,0,0,14,41,75,97,100,94,84,60,33,19,17,19,20,19,16,0,0,0,0,0,0,0,0,0,9,21,31,31,30,41,51,35,15,8,7,7,7,7,6,0,0,0,0,0,0,0,0,0,14,31,46,50,47,60,68,41,15,9,9,9,9,8,7,0,0,0,0,0,0,0,0,0,15,34,50,52,49,65,80,55,23,12,11,11,11,10,8,0,0,0,0,0,0,0,0,0,19,36,51,54,50,64,81,54,19,11,12,13,13,12,11,0,0,0,0,0,0,0,0,0,18,38,54,55,53,67,76,50,20,11,12,13,13,12,11,0,0,0,0,0,0,0,0,0,17,45,77,93,90,85,76,54,30,19,20,22,24,23,20,0,0,0
"49",49,"New Market Road Blk 32 (People's Park Food Centre)",1.28499759905817,103.840361550918,0,"People typically spend 30 min to 1 hr here",20,0,13,0,0,0,0,0,0,0,4,13,30,53,78,96,99,88,75,71,80,90,86,64,36,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,18,39,67,88,90,73,50,42,55,74,76,54,26,9,0,0,0,0,0,0,0,0,2,7,19,40,67,89,95,82,60,48,57,79,84,61,29,9,0,0,0,0,0,0,0,0,2,8,21,45,74,97,99,80,56,47,61,83,87,65,33,12,0,0,0,0,0,0,0,0,2,7,19,40,65,86,92,80,60,49,60,85,96,76,41,15,0,0,0,0,0,0,0,0,4,12,25,45,68,87,96,91,78,68,73,91,100,81,47,19,0
"50",50,"New Upper Changi Road Blk 208B",1.34026449901769,103.852227550918,0,"People typically spend 30 min to 1 hr here",87,0,13,0,0,0,0,0,0,0,0,0,0,0,0,89,100,69,51,56,66,69,65,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,72,37,27,35,44,51,52,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,75,47,31,37,50,60,62,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,78,46,33,44,57,65,66,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,76,42,32,42,55,64,65,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,90,66,51,59,72,78,76,66,0,0,0
"51",51,"New Upper Changi Road Blk 58",1.3241261,103.94118435,0,"0",0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"52",52,"Newton Food Centre",1.31198879903839,103.837380150918,0,"People typically spend 20 min to 1.5 hr here",0,0,20,13,5,0,0,0,0,0,0,0,0,0,0,29,32,35,39,46,60,78,90,86,67,44,25,12,3,0,0,0,0,0,0,0,0,0,0,45,44,34,25,25,34,48,58,61,54,41,25,16,7,0,0,0,0,0,0,0,0,0,0,39,38,34,29,29,37,53,67,69,58,42,28,16,5,0,0,0,0,0,0,0,0,0,0,49,51,40,29,29,43,60,74,78,69,52,32,20,7,0,0,0,0,0,0,0,0,0,0,40,39,37,35,38,48,64,79,84,77,60,39,31,14,0,0,0,0,0,0,0,0,0,0,38,37,34,31,34,49,73,94,98,88,71,52,32,13,0,0,0,0,0,0,0,0,0,0,36,38,36,34,36,50,74,94,100,91,76,56
