"","index","name","lon","lat","popular_times","time_spent","current_popularity","filled","peak","sun0","sun1","sun2","sun3","sun4","sun5","sun6","sun7","sun8","sun9","sun10","sun11","sun12","sun13","sun14","sun15","sun16","sun17","sun18","sun19","sun20","sun21","sun22","sun23","mon0","mon1","mon2","mon3","mon4","mon5","mon6","mon7","mon8","mon9","mon10","mon11","mon12","mon13","mon14","mon15","mon16","mon17","mon18","mon19","mon20","mon21","mon22","mon23","tue0","tue1","tue2","tue3","tue4","tue5","tue6","tue7","tue8","tue9","tue10","tue11","tue12","tue13","tue14","tue15","tue16","tue17","tue18","tue19","tue20","tue21","tue22","tue23","wed0","wed1","wed2","wed3","wed4","wed5","wed6","wed7","wed8","wed9","wed10","wed11","wed12","wed13","wed14","wed15","wed16","wed17","wed18","wed19","wed20","wed21","wed22","wed23","thu0","thu1","thu2","thu3","thu4","thu5","thu6","thu7","thu8","thu9","thu10","thu11","thu12","thu13","thu14","thu15","thu16","thu17","thu18","thu19","thu20","thu21","thu22","thu23","fri0","fri1","fri2","fri3","fri4","fri5","fri6","fri7","fri8","fri9","fri10","fri11","fri12","fri13","fri14","fri15","fri16","fri17","fri18","fri19","fri20","fri21","fri22","fri23","sat0","sat1","sat2","sat3","sat4","sat5","sat6","sat7","sat8","sat9","sat10","sat11","sat12","sat13","sat14","sat15","sat16","sat17","sat18","sat19","sat20","sat21","sat22","sat23"
"53",53,"North Bridge Road Market",1.30583329904291,103.861694850918,0,"People typically spend 20-45 min here",97,0,12,1,1,1,1,1,1,16,41,69,90,96,85,64,40,23,16,15,17,16,11,3,1,1,1,10,6,2,1,1,1,20,50,63,56,55,68,74,61,39,23,16,16,17,18,19,18,16,13,10,7,3,0,1,2,21,54,80,82,81,89,87,65,39,22,16,16,17,18,18,17,15,13,15,12,8,4,2,8,29,61,84,83,81,92,97,79,48,24,15,14,16,19,20,20,20,18,16,11,6,1,0,6,28,61,81,78,77,92,99,77,46,28,25,27,30,31,31,29,26,21,24,18,11,6,5,12,31,56,76,82,79,74,69,59,45,33,26,25,27,31,33,34,32,29,12,7,2,1,1,3,22,53,85,100,95,84,74,62,45,31,24,24,25,26,26,24,21,17
"54",54,"Old Airport Road Blk 51 (51 Old Airport Road Food Centre and Shopping Mall)",1.30824049904115,103.883650450918,0,"People typically spend 25 min to 1 hr here",42,0,12,0,0,0,0,0,0,5,12,26,47,72,92,100,91,72,57,56,71,84,78,52,24,7,0,0,0,0,0,0,0,4,8,15,27,43,58,65,61,47,33,29,39,53,55,40,18,4,0,0,0,0,0,0,0,2,7,17,31,49,65,72,67,53,38,33,42,59,64,48,24,7,0,0,0,0,0,0,0,5,9,17,31,51,71,80,72,54,37,34,46,60,61,46,24,7,0,0,0,0,0,0,0,7,12,18,28,47,71,84,77,55,37,36,51,67,69,54,31,12,0,0,0,0,0,0,0,6,13,25,41,59,74,78,71,57,44,43,57,75,80,64,37,15,0,0,0,0,0,0,0,7,17,32,53,76,94,99,90,73,58,57,71,88,88,67,38,15,0
"55",55,"Our Tampines Hub",1.35365359900789,103.937534350918,0,"People typically spend 15 min here",10,0,12,0,0,0,0,0,0,2,9,24,47,74,94,100,87,64,45,43,59,74,69,44,19,0,0,1,0,0,1,1,0,3,10,19,29,41,64,91,86,51,29,34,49,59,56,41,23,9,2,1,1,1,1,1,0,3,9,17,26,39,66,96,84,43,26,38,59,70,62,41,19,6,0,1,1,1,1,1,0,2,5,12,26,45,63,71,64,46,29,22,33,52,58,41,18,4,1,1,1,1,1,1,3,6,10,14,21,34,54,70,67,49,31,28,41,57,61,47,26,10,1,0,0,0,0,0,0,5,12,21,28,37,58,90,93,57,30,35,59,79,78,56,29,0,0,1,1,1,1,1,1,4,17,36,55,68,79,88,82,59,39,39,55,71,71,54,31,13,3
"56",56,"Pasir Panjang Food Centre",1.27596899906479,103.789058050918,0,"People typically spend 20 min to 1 hr here",24,0,19,0,0,0,0,0,0,0,0,29,28,25,28,35,34,22,14,24,51,80,88,67,35,12,0,0,0,0,0,0,0,0,0,49,41,35,55,83,72,35,20,33,54,70,69,53,30,12,0,0,0,0,0,0,0,0,0,53,44,43,64,87,76,43,29,41,65,83,82,63,37,16,0,0,0,0,0,0,0,0,0,52,45,44,68,93,79,41,21,32,60,86,91,72,41,17,0,0,0,0,0,0,0,0,0,57,45,44,71,98,82,42,23,35,65,92,95,72,40,15,0,0,0,0,0,0,0,0,0,53,44,41,64,89,77,42,26,40,68,93,100,83,53,26,0,0,0,0,0,0,0,0,0,37,30,32,45,54,50,36,29,39,66,91,98,80,49,22,0
"57",57,"Pasir Ris Central Hawker Centre",1.3735775989933,103.949277450918,0,"People typically spend 30 min to 1 hr here",37,0,19,0,0,0,0,0,0,0,22,47,65,72,85,97,87,58,34,38,70,98,88,50,18,0,0,0,0,0,0,0,0,0,23,37,35,33,49,67,62,38,21,25,46,64,61,39,16,0,0,0,0,0,0,0,0,0,19,37,37,32,46,64,61,40,22,22,41,59,58,38,16,0,0,0,0,0,0,0,0,0,28,42,40,38,54,75,71,45,25,29,52,74,73,49,23,0,0,0,0,0,0,0,0,0,24,42,37,32,53,76,69,40,20,27,56,82,79,50,21,0,0,0,0,0,0,0,0,0,26,47,47,43,62,87,80,48,24,28,56,87,92,66,32,0,0,0,0,0,0,0,0,0,22,53,69,68,79,98,96,67,38,33,60,95,100,66,27,0,0
"58",58,"Queen Street Blk 270 (Albert Centre)",1.30090269904652,103.852244450918,0,"0",0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"59",59,"Adam Road Food Centre",1.32404139902957,103.811960450918,0,"People typically spend 15-45 min here",0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,76,64,76,88,82,71,65,65,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,83,78,80,89,91,84,77,75,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,83,72,83,100,96,80,72,74,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,80,75,84,99,98,83,72,72,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,81,66,79,95,93,79,69,69,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60",60,"Aljunied Ave 2 Blk 117 (Blk 117 Aljunied Market and Food Centre)",1.32055799903213,103.884464750918,0,"People typically spend 25 min to 1 hr here",85,0,12,0,0,0,0,0,0,19,50,84,100,96,88,79,59,36,24,22,22,21,17,12,0,0,0,0,0,0,0,0,0,18,44,61,55,46,59,74,57,28,14,15,18,18,15,10,0,0,0,0,0,0,0,0,0,18,43,57,49,43,61,76,57,27,15,16,19,19,17,12,0,0,0,0,0,0,0,0,0,25,50,64,58,49,63,82,64,31,17,17,19,19,17,13,0,0,0,0,0,0,0,0,0,23,50,67,58,46,62,84,63,29,18,19,21,20,17,12,0,0,0,0,0,0,0,0,0,27,55,67,56,44,60,76,59,28,14,15,18,20,17,13,0,0,0,0,0,0,0,0,0,20,48,75,82,75,70,70,57,36,23,20,22,23,20,14,0,0,0
"61",61,"Amoy Street Food Centre (Telok Ayer Food Centre)",1.27942739906225,103.844601650918,0,"People typically spend 25 min to 1 hr here",26,0,12,0,0,0,0,0,0,1,4,10,15,18,21,22,17,12,7,6,5,0,0,0,0,0,0,0,0,0,0,0,0,8,21,27,21,18,49,91,73,28,11,10,10,9,7,5,0,0,0,0,0,0,0,0,0,6,22,32,21,24,66,100,72,28,11,8,8,7,5,4,0,0,0,0,0,0,0,0,0,9,25,30,18,21,58,93,75,32,11,9,10,11,9,7,0,0,0,0,0,0,0,0,0,10,30,37,22,23,61,97,78,33,11,9,10,11,10,7,0,0,0,0,0,0,0,0,0,7,22,31,22,25,59,88,68,29,11,9,10,11,10,8,0,0,0,0,0,0,0,0,0,2,8,16,22,23,24,29,29,19,10,7,8,9,9,7,0,0,0
"62",62,"Ang Mo Kio Ave 1 Blk 226D (Kebun Baru Market and Food Centre)",1.36722299899795,103.837833850918,0,"People typically spend 20 min to 1 hr here",84,0,8,0,0,0,0,0,7,26,56,86,100,96,86,71,49,27,16,18,26,31,28,18,8,0,0,0,0,0,0,0,4,16,32,41,40,38,40,38,28,16,10,11,16,19,18,12,5,0,0,0,0,0,0,0,4,20,42,56,53,48,48,45,32,16,9,11,18,22,20,13,6,0,0,0,0,0,0,0,5,21,42,54,53,51,54,51,36,19,12,14,21,25,23,15,6,0,0,0,0,0,0,0,6,24,46,58,55,51,52,49,37,22,13,14,20,25,24,17,8,0,0,0,0,0,0,0,6,24,47,59,54,48,49,46,31,15,8,10,18,24,23,16,8,0,0,0,0,0,0,0,8,27,54,78,85,79,70,58,42,25,17,19,24,27,24,16,8,0,0
"63",63,"Ang Mo Kio Ave 1 Blk 341 (Teck Ghee Court)",1.36403649900028,103.845877150918,0,"People typically spend 25 min to 1 hr here",100,0,8,0,0,0,0,0,0,0,53,87,100,87,69,55,39,22,11,9,11,13,12,9,5,0,0,0,0,0,0,0,0,0,30,46,42,30,26,25,19,9,4,4,7,8,8,7,4,0,0,0,0,0,0,0,0,0,40,59,55,42,37,37,27,14,6,4,7,9,9,7,4,0,0,0,0,0,0,0,0,0,42,61,54,42,42,42,30,14,6,6,8,9,9,6,3,0,0,0,0,0,0,0,0,0,42,61,58,45,42,41,30,14,5,4,6,7,7,5,3,0,0,0,0,0,0,0,0,0,41,64,62,46,39,37,27,14,6,6,8,9,9,7,4,0,0,0,0,0,0,0,0,0,49,84,90,71,56,48,35,18,9,7,9,11,12,10,7,0,0
"64",64,"Ang Mo Kio Ave 10 Blk 409 (Teck Ghee Square)",1.36259669900134,103.853242750918,0,"People typically spend 30 min to 1 hr here",78,0,7,1,0,0,0,5,30,63,87,97,100,99,91,74,52,32,20,23,39,61,76,73,52,27,6,1,0,0,0,1,10,30,33,19,10,18,33,39,29,13,2,5,18,36,50,52,41,23,6,1,0,0,0,3,23,45,56,54,49,53,62,60,43,21,9,12,26,44,57,59,48,30,12,1,0,0,0,1,23,63,90,85,66,60,68,69,53,30,17,20,38,61,77,77,61,36,14,1,0,0,0,1,31,77,98,79,58,64,79,78,57,33,22,28,46,66,76,70,52,29,9,6,0,0,0,0,31,73,90,71,48,47,55,56,47,31,18,16,27,47,67,76,69,49,26,1,0,0,0,3,28,60,83,87,82,79,79,75,61,42,25,19,28,50,73,82,72,46,20
"65",65,"Ang Mo Kio Ave 10 Blk 453A (Chong Boon Market and Food Centre)",1.36803549899736,103.854377450918,0,"People typically spend 25 min to 1 hr here",100,0,10,0,0,0,0,0,0,0,52,78,97,100,85,60,36,21,15,15,17,16,12,7,0,0,0,0,0,0,0,0,0,0,24,34,34,29,29,28,20,10,6,6,8,8,7,5,0,0,0,0,0,0,0,0,0,0,38,51,51,46,43,39,27,13,7,8,11,12,11,7,0,0,0,0,0,0,0,0,0,0,37,51,53,48,45,41,30,16,9,10,13,14,12,7,0,0,0,0,0,0,0,0,0,0,37,51,53,48,48,46,33,16,8,9,14,16,14,8,0,0,0,0,0,0,0,0,0,0,40,53,54,48,46,42,30,16,10,10,13,14,12,8,0,0,0,0,0,0,0,0,0,0,49,71,79,75,66,55,39,23,15,14,16,16,13,9,0,0,0
"66",66,"Ang Mo Kio Ave 10 Blk 527 (Cheng San Market and Cooked Food Centre)",1.37280569899386,103.852264150918,0,"People typically spend 20-45 min here",100,0,8,0,0,0,0,0,19,39,63,85,99,100,88,68,45,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,24,38,46,44,38,39,42,31,16,12,15,18,19,17,13,8,3,0,0,0,0,0,0,15,33,51,59,58,55,54,46,31,18,13,16,20,22,20,15,9,3,0,0,0,0,0,0,18,37,54,62,61,60,61,55,40,23,16,18,23,26,23,16,8,2,1,0,0,0,0,0,19,40,59,66,61,57,58,54,40,24,17,18,23,25,23,17,10,4,0,0,0,0,0,0,16,36,57,66,62,58,59,55,38,21,14,17,21,23,22,16,10,4,0,0,0,0,0,0,18,39,63,82,92,89,77,61,43,29,21,19,21,21,20,16,11,6,2
"67",67,"Ang Mo Kio Ave 4 Blk 160/162 (Mayflower Market)",1.37418439899285,103.836635550918,0,"People typically spend 25 min to 1 hr here",100,0,9,0,0,0,0,0,0,27,58,88,100,93,82,67,43,20,9,7,7,7,6,0,0,0,0,0,0,0,0,0,0,20,34,43,40,33,36,41,27,9,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,24,45,57,52,42,47,52,33,11,3,2,3,3,2,0,0,0,0,0,0,0,0,0,0,25,43,52,48,41,47,52,33,12,4,4,4,5,4,0,0,0,0,0,0,0,0,0,0,23,45,58,54,45,50,52,34,12,4,3,4,4,4,0,0,0,0,0,0,0,0,0,0,27,47,57,53,45,49,52,33,12,4,4,4,5,4,0,0,0,0,0,0,0,0,0,0,28,57,80,82,73,66,57,38,19,9,7,7,7,6,0,0,0,0
"68",68,"Ang Mo Kio Ave 4 Blk 628 (Ang Mo Kio 628 Market)",1.38088399898795,103.838396150918,0,"People typically spend 20 min to 1 hr here",95,0,10,0,0,0,0,0,0,27,53,80,96,100,93,78,57,37,28,26,26,25,21,16,10,0,0,0,0,0,0,0,0,16,28,36,36,34,42,50,40,23,17,18,19,18,15,11,6,0,0,0,0,0,0,0,0,20,40,53,52,50,56,55,41,24,17,18,20,20,18,14,9,0,0,0,0,0,0,0,0,20,38,52,54,51,57,62,48,27,18,18,20,20,17,12,7,0,0,0,0,0,0,0,0,22,43,57,57,57,67,67,48,27,20,22,25,26,22,16,10,0,0,0,0,0,0,0,0,24,47,62,60,56,62,62,44,26,20,22,24,24,21,15,10,0,0,0,0,0,0,0,0,31,57,80,89,88,83,74,55,35,25,24,27,27,23,17,11,0,0
"69",69,"Ang Mo Kio Ave 6 Blk 724 (Blk 724 Ang Mo Kio Market)",1.37218409899432,103.844365150918,0,"People typically spend 45 min here",78,0,12,0,0,0,0,0,0,0,0,63,92,92,90,100,97,72,45,40,59,76,65,36,0,0,0,0,0,0,0,0,0,0,0,0,0,24,51,68,58,33,15,16,27,36,31,18,0,0,0,0,0,0,0,0,0,0,0,21,32,44,59,68,65,49,31,26,37,51,48,29,0,0,0,0,0,0,0,0,0,0,0,30,44,54,67,78,75,52,29,24,37,49,44,25,0,0,0,0,0,0,0,0,0,0,0,25,42,60,72,75,66,50,33,26,36,55,55,32,0,0,0,0,0,0,0,0,0,0,0,25,42,61,75,79,69,51,34,27,41,62,66,43,0,0,0,0,0,0,0,0,0,0,0,55,87,93,85,87,90,72,45,36,54,75,72,45,0,0,0
"70",70,"Ang Mo Kio Street 22 Blk 226H (Kebun Baru Food Centre)",1.36722299899795,103.837833850918,0,"People typically spend 20 min to 1 hr here",100,0,8,0,0,0,0,0,7,26,56,86,100,96,86,71,49,27,16,18,26,31,28,18,8,0,0,0,0,0,0,0,4,16,32,41,40,38,40,38,28,16,10,11,16,19,18,12,5,0,0,0,0,0,0,0,4,20,42,56,53,48,48,45,32,16,9,11,18,22,20,13,6,0,0,0,0,0,0,0,5,21,42,54,53,51,54,51,36,19,12,14,21,25,23,15,6,0,0,0,0,0,0,0,6,24,46,58,55,51,52,49,37,22,13,14,20,25,24,17,8,0,0,0,0,0,0,0,6,24,47,59,54,48,49,46,31,15,8,10,18,24,23,16,8,0,0,0,0,0,0,0,8,27,54,78,85,79,70,58,42,25,17,19,24,27,24,16,8,0,0
"71",71,"Bedok Food Centre",1.32034999903228,103.953252950918,0,"People typically spend 20 min to 1 hr here",21,0,13,0,0,0,0,0,0,0,0,30,51,73,90,97,95,90,89,90,89,81,66,48,30,0,0,0,0,0,0,0,0,0,0,12,22,34,46,53,53,48,43,42,44,44,39,27,15,0,0,0,0,0,0,0,0,0,0,17,30,47,61,69,69,63,58,59,64,65,56,40,23,0,0,0,0,0,0,0,0,0,0,18,34,51,67,74,72,65,60,63,69,70,60,42,23,0,0,0,0,0,0,0,0,0,0,18,33,49,64,71,70,65,62,65,69,70,61,45,28,0,0,0,0,0,0,0,0,0,0,21,32,46,66,88,100,94,77,67,67,73,72,61,43,0,0,0,0,0,0,0,0,0,0,32,52,74,91,97,93,85,80,83,91,94,87,70,47,0,0
"72",72,"Bedok North Street 1 Blk 216",1.32752189902704,103.931185850918,0,"People typically spend 30 min to 1 hr here",87,0,8,0,0,0,0,0,0,32,62,88,99,98,90,70,42,18,7,4,3,0,0,0,0,0,0,0,0,0,0,0,0,21,42,50,41,37,45,45,30,13,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,32,60,69,60,59,66,57,32,12,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,33,58,66,58,58,65,56,33,14,6,3,2,0,0,0,0,0,0,0,0,0,0,0,0,33,63,78,68,59,64,62,42,19,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,30,56,69,61,54,62,62,40,16,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,42,79,100,94,82,75,62,39,18,7,3,2,0,0,0,0,0,0
"73",73,"Bedok North Street 3 Blk 511 (Kaki Bukit 511 Market and Food Centre)",1.33325649902282,103.928411950918,0,"People typically spend 25 min to 1 hr here",73,0,19,1,0,0,0,0,0,16,43,75,97,100,86,67,50,42,49,66,84,93,88,71,48,27,11,2,0,0,0,0,0,9,18,24,24,26,35,41,34,24,25,35,48,55,56,49,36,22,10,3,0,0,0,0,0,11,23,33,39,44,47,47,40,31,28,34,48,62,67,62,47,29,14,5,0,0,0,0,0,13,28,39,43,46,50,51,43,33,30,41,58,73,79,72,56,36,18,3,0,0,0,0,0,17,34,44,43,41,46,51,45,33,29,37,53,68,73,67,51,32,15,8,0,0,0,0,0,18,36,45,43,39,41,43,39,30,27,35,51,68,77,74,59,40,21,5,0,0,0,0,0,14,39,66,78,74,66,62,55,42,38,51,72,91,96,86,65,40,19
"74",74,"Bedok North Street 3 Blk 538",1.33188419902384,103.922900550918,0,"People typically spend 20 min to 1 hr here",100,0,8,0,0,0,0,0,0,27,58,87,100,97,86,68,42,21,11,9,9,8,6,3,0,0,0,0,0,0,0,0,0,18,36,46,44,38,37,33,20,7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,25,47,58,53,45,45,42,28,13,5,4,6,7,5,2,0,0,0,0,0,0,0,0,0,27,49,59,55,49,49,46,31,13,4,3,4,6,7,6,0,0,0,0,0,0,0,0,0,25,45,56,54,49,50,47,32,14,4,2,3,4,4,2,0,0,0,0,0,0,0,0,0,28,51,62,56,47,44,41,28,13,4,2,3,4,4,2,0,0,0,0,0,0,0,0,0,26,57,81,86,78,71,61,42,22,11,9,9,9,7,4,0,0,0
"75",75,"Redhill Lane Blk 79 (Redhill Market)",1.28784149905608,103.816081050918,0,"People typically spend 20 min to 1 hr here",0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,88,86,86,82,71,55,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,46,51,62,67,62,49,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,53,59,71,76,70,55,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,67,69,77,80,74,59,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,57,65,79,87,82,66,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,58,61,72,80,78,66,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,88,87,87,84,76,62,45,0,0
"76",76,"Bukit Timah Market",1.33940689901832,103.773854950918,0,"People typically spend 20-45 min here",97,0,12,0,0,0,0,0,0,0,48,72,87,94,100,96,80,61,53,59,67,69,60,43,25,11,0,0,0,0,0,0,0,0,27,36,39,39,50,70,65,37,22,27,37,42,39,29,17,7,0,0,0,0,0,0,0,0,34,47,51,54,67,82,72,44,30,37,50,56,51,36,19,7,0,0,0,0,0,0,0,0,35,46,51,55,69,83,74,48,34,41,55,61,54,37,19,6,0,0,0,0,0,0,0,0,38,51,56,59,73,89,79,50,36,44,60,67,60,43,24,9,0,0,0,0,0,0,0,0,44,57,60,60,70,81,73,47,31,35,53,66,63,47,26,10,0,0,0,0,0,0,0,0,52,71,80,85,91,97,88,68,51,53,67,77,71,51,28,11,0
"77",77,"Cambridge Road Blk 41A (Pek Kio Market and Food Centre)",1.3162194990353,103.848027250918,0,"People typically spend 25 min to 1 hr here",83,0,11,0,0,0,0,0,0,24,52,82,99,100,93,81,60,36,20,13,10,8,0,0,0,0,0,0,0,0,0,0,0,20,42,60,61,58,68,74,54,26,12,8,6,5,0,0,0,0,0,0,0,0,0,0,0,20,48,67,65,67,82,83,58,30,15,10,8,7,0,0,0,0,0,0,0,0,0,0,0,22,51,70,68,72,86,83,58,31,15,9,7,5,0,0,0,0,0,0,0,0,0,0,0,29,57,76,72,65,78,88,64,31,15,10,8,6,0,0,0,0,0,0,0,0,0,0,0,24,52,72,70,64,76,81,57,29,15,11,9,8,0,0,0,0,0,0,0,0,0,0,0,26,56,84,95,92,85,75,58,38,22,14,11,9,0,0,0,0,0
"78",78,"Changi Village Blk 2 and 3",1.38975569898145,103.985755950918,0,"People typically spend 30 min to 1 hr here",85,0,19,28,15,6,1,1,10,25,44,62,72,77,79,80,74,64,59,65,75,82,79,66,46,28,13,5,1,0,0,0,0,12,22,27,27,29,42,55,49,32,24,27,34,39,40,36,28,19,11,6,2,0,0,0,0,12,24,30,28,32,52,68,57,35,27,32,40,45,45,40,31,22,13,5,1,0,0,0,0,10,24,34,34,36,53,70,61,39,28,31,38,43,42,37,29,20,12,6,1,0,0,0,0,12,25,31,29,32,52,68,59,38,29,33,42,48,49,44,35,24,14,0,0,0,0,0,0,14,24,31,32,37,50,63,59,43,32,34,44,55,62,62,55,43,29,17,8,2,0,0,5,19,43,62,65,63,66,73,71,61,56,63,77,92,100,97,85,66,46
"79",79,"Chomp Chomp Food Centre",1.36423039900014,103.864217250918,0,"People typically spend 25 min to 1.5 hr here",0,0,19,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,74,100,94,80,70,54,31,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,27,42,54,58,53,40,25,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,31,49,62,67,59,43,26,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,32,48,62,68,64,50,31,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,43,69,81,80,77,67,43,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,50,77,89,89,93,91,67,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,67,90,95,92,92,82,57
"80",80,"Ci Yuan Hawker Centre",1.37555229899185,103.880757250918,0,"People typically spend 25 min to 1 hr here",81,0,19,1,0,0,1,1,1,13,37,68,86,85,80,83,78,54,28,27,60,100,95,52,14,0,1,1,1,1,1,1,2,14,32,45,43,36,51,78,69,32,11,18,41,61,60,39,16,2,1,1,0,0,1,1,1,12,33,48,43,35,51,74,64,30,11,19,47,72,68,40,13,1,1,1,0,1,1,1,4,18,38,50,45,38,51,71,63,32,12,20,50,78,77,47,17,2,1,1,0,1,1,1,4,18,39,51,48,42,55,78,76,45,19,21,48,81,87,58,24,4,1,1,1,0,1,1,2,16,37,53,50,41,53,72,63,31,14,24,54,83,83,56,24,5,1,1,1,0,1,1,1,12,35,62,75,69,61,61,59,44,27,27,51,82,88,61,26,5,1
"81",81,"Circuit Road Blk 79/79A",1.32777889902683,103.884751850918,0,"People typically spend 15-45 min here",53,0,8,0,0,0,0,0,6,23,50,80,100,98,77,50,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,17,32,41,39,29,28,29,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,25,54,68,59,46,45,40,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,24,48,62,59,45,38,37,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,49,69,64,47,42,39,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,24,52,68,60,43,36,33,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,28,53,77,90,85,67,44,25,0,0,0,0,0,0,0,0,0,0
"82",82,"Circuit Road Blk 80 (80 Circuit Road Market and Food Centre)",1.32777889902683,103.884751850918,0,"People typically spend 15-45 min here",79,0,8,0,0,0,0,0,6,23,50,80,100,98,77,50,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,17,32,41,39,29,28,29,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,25,54,68,59,46,45,40,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,24,48,62,59,45,38,37,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,49,69,64,47,42,39,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,24,52,68,60,43,36,33,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,28,53,77,90,85,67,44,25,0,0,0,0,0,0,0,0,0,0
"83",83,"Circuit Road Blk 89",1.32344639903001,103.883208350918,0,"People typically spend 30 min here",30,0,8,0,0,0,0,0,12,35,67,93,100,84,59,35,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,24,43,51,44,32,24,17,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,37,62,68,54,38,30,23,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,32,57,66,55,41,35,27,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,33,57,66,55,41,33,25,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,32,59,69,58,43,34,22,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,34,65,85,85,70,50,33,19,0,0,0,0,0,0,0,0,0,0
"84",84,"Clementi Ave 2 Blk 353 (Clementi Ave 2 Market/Cooked Food Centre)",1.31430459903671,103.768620450918,0,"People typically spend 15-45 min here",0,0,10,0,0,0,0,0,0,14,36,66,91,100,91,75,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,29,36,38,36,33,31,29,26,21,17,0,0,0,0,0,0,0,0,0,0,0,0,0,30,47,56,55,51,47,44,40,35,28,21,0,0,0,0,0,0,0,0,0,0,0,0,0,36,59,73,73,66,61,57,51,43,33,25,0,0,0,0,0,0,0,0,0,0,0,0,0,36,50,57,57,54,52,48,42,33,25,18,0,0,0,0,0,0,0,0,0,0,0,0,0,34,55,63,61,59,60,58,49,37,27,20,0,0,0,0,0,0,0,0,0,0,0,0,0,41,70,88,89,80,71,66,60,52,41,32,0,0,0,0,0,0
